web-scraper-order,web-scraper-start-url,TIENDA,TIENDA-href,PRODUCTOS,PRODUCTOS-href,DESCRIPCION,IMAGEN-src,TEXTOPROD,PRECIO
"1604870604-2133","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción Wild Forest – Cañón de Las Hermosas, Tolima (340 g) GRANO","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/cafe-devocion-wild-forest-canon-de-las-hermosas-tolima-340-g-en-grano/","","","","$26,500"
"1604870889-2354","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Champiñones agroecológicos en caja de bagazo de caña. Tabio (500 g)","https://biotico.co/tienda/verduras-organicas-2/champinones-de-produccion-agroecologica-empacados-en-caja-biodegradable-de-bagazo-de-cana-cultivados-en-chia-vereda-bojaca-500-g/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/10/2671626-354dflyg3rx5kuy27r9vre.jpg?ssl=1","",""
"1604870785-2274","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Pepino Cohombro Monterrey, Casanare. BPA  Unidad (350 – 400 g Aprox)","https://biotico.co/tienda/verduras-organicas-2/pepino-cohombro-monterrey-casanare-bpa-500-g/","","","","$2,900"
"1604870642-2160","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Pollo de campo (5 lb aprox)  Pacho, Cundinamarca.","https://biotico.co/tienda/pollo-campesino/pollopastoreo/","","","","$40,000"
"1604870824-2303","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Lechuga escarola orgánica. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/lechuga-escarola-organica/","Lechuga escarola orgánica. Verde Fresco Orgánico. Madrid, Cund.","","",""
"1604870698-2201","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Yogurt natural x 1lt. Leche 100% ecológica","https://biotico.co/tienda/yogurt/yogurt-natural/","","https://i0.wp.com/biotico.co/wp-content/uploads/2018/10/20201003_133819.jpg?ssl=1","",""
"1604870982-2430","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Acedera orgánica certificada por Ecocert. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/acedera-organica/","","https://i2.wp.com/biotico.co/wp-content/uploads/2018/07/acedera-3-e1538071331112.jpg?ssl=1","",""
"1604870580-2110","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Cacao orgánico sin azúcar. Clavos, nuez moscada y canela – Chocoamazonic (250 g)","https://biotico.co/tienda/cacaodeeldoncello/cacaoeldoncello/","","https://i2.wp.com/biotico.co/wp-content/uploads/2019/02/chocoamazonic.jpg?ssl=1","",""
"1604870937-2390","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Berro de invierno-Upland cress. Orgánico, certificado por Ecocert. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/berro-de-invierno/","","https://i0.wp.com/biotico.co/wp-content/uploads/2018/03/uplandcress.jpg?ssl=1","",""
"1604870575-2104","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Nibs de 100 % cacao orgánico (150 g) – Chocamazonic","https://biotico.co/tienda/cacaodeeldoncello/nibs-de-cacao/","Nibs de 100 % cacao orgánico (150 g) – Chocamazonic","","",""
"1604870545-2084","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Miel de abejas 100% Biabejas. Ecosistema: Bosque Húmedo Tropical. San Martín, Meta – (470 g)","https://biotico.co/tienda/miel100/bhtsanmartin470/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/08/20200828_134534-1-rotated.jpg?ssl=1","",""
"1604870342-1913","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Multiusos biodegradable – Hojas de té GALÓN. Libre de sulfatos. Ecolepont.","https://biotico.co/tienda/hogar-ecologico/tegalon/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/06/galon-hojas-de-te-frente.png?ssl=1","",""
"1604870889-2355","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Champiñones agroecológicos en caja de bagazo de caña. Tabio (500 g)","https://biotico.co/tienda/verduras-organicas-2/champinones-de-produccion-agroecologica-empacados-en-caja-biodegradable-de-bagazo-de-cana-cultivados-en-chia-vereda-bojaca-500-g/","","","","$10,500"
"1604870989-2438","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",". 🗓 Haz clic en el carrito si quieres tu pedido el martes","https://biotico.co/tienda/verduras-organicas/miercoles/","","","","$0"
"1604870524-2068","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Arepas sin gluten 🌽 Maíz y semillas de chía (5 uds) El Semillero gluten free","https://biotico.co/tienda/para-desayuno/arepas-sin-gluten-%f0%9f%8c%bd-maiz-y-semillas-de-chia-5-uds-el-semillero-gluten-free/","Arepas sin gluten 🌽 Maíz y semillas de chía (5 uds) El Semillero gluten free","","",""
"1604870941-2394","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Apio orgánico. Certificado x Ecocert. Verde Fresco Orgánico. Madrid, Cund x 400 g","https://biotico.co/tienda/verduras-organicas-2/apio-x-400g/","","","","$3,950"
"1604870813-2295","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Manzanilla orgánica – Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/aromaticas-y-condimentos/manzanilla-organica-x-atado-ecocert/","","https://i2.wp.com/biotico.co/wp-content/uploads/2018/09/manza-grande.jpg?ssl=1","",""
"1604870729-2226","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Zanahoria orgánica atado –  (1000 g) Certificada por Ecocert.","https://biotico.co/tienda/verduras-organicas-2/zanahoria-organica-atado-1000-g-certificada-por-ecocert/","","","","$5,000"
"1604870630-2150","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción Descafeinado – MOLIDO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/cafe-devocion-descafeinado-340-g/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/07/20200725_163049_0000.png?ssl=1","",""
"1604870838-2315","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Kale toscano orgánico certificado por Ecocert. Verde Fresco Orgánico. Madrid, Cund.  x 500g – Ecocert","https://biotico.co/tienda/verduras-organicas-2/kale-toscano-organico-x-400g/","Kale toscano orgánico certificado por Ecocert. Verde Fresco Orgánico. Madrid, Cund.  x 500g – Ecocert","","",""
"1604870831-2311","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Lechuga crespa morada orgánica. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/lechuga-crespa-morada-organica/","","","","$2,950"
"1604870733-2228","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Zanahoria orgánica – Verde Fresco Orgánico. Madrid, Cund (500 g)","https://biotico.co/tienda/verduras-organicas-2/zanahoria-organica-certificada-por-ecocert-verde-fresco-organico-madrid-cund-500-g/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/07/zanahorias.jpg?ssl=1","",""
"1604870975-2424","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Acelga común orgánica. Certificado x Ecocert. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/acelga-organica/","","https://i0.wp.com/biotico.co/wp-content/uploads/2019/03/acelga.jpg?ssl=1","",""
"1604870338-1909","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Multiusos biodegradable – Moringa y cardamomo 500 mL. Libre de sulfatos. Ecolepont.","https://biotico.co/tienda/jabon-ecologico/mumoringa/","","","$",""
"1604870624-2147","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción Honey – GRANO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/cafe-devocion-honey-grano-340-g/","","https://i2.wp.com/biotico.co/wp-content/uploads/2020/08/GRANO.jpg?ssl=1","",""
"1604870806-2288","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Mix asiático: tat soi; mostaza y mitzuna.  Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/mix-asiatico-organico/","","https://i2.wp.com/biotico.co/wp-content/uploads/2018/09/tatsoi-2.jpg?ssl=1","",""
"1604870485-2038","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Hamburguesas vegananas: Champiñones, quinua, tofu y frijol caraota – (3 unidades)","https://biotico.co/tienda/veggielistos/mushrumbeansquinuatofu/","Hamburguesas vegananas: Champiñones, quinua, tofu y frijol caraota – (3 unidades)","","",""
"1604870986-2435","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Para recibir el viernes 13 de noviembre haz clic en el carrito.","https://biotico.co/tienda/verduras-organicas/viernes/","","","","$0"
"1604870851-2324","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Jengibre. Monterrey, Casanare. BPA (200 g)","https://biotico.co/tienda/verduras-organicas-2/jengibre-monterrey-casanare-bpa-200-g/","Jengibre. Monterrey, Casanare. BPA (200 g)","","",""
"1604870563-2096","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Té Bitaco – té verde – té verde orgánico en hoja suelta  50 g","https://biotico.co/tienda/te/teverdebitaco/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/09/te-verde.jpg?ssl=1","",""
"1604870411-1978","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta: Lulo. Ecológico de confianza. 500 g.  San Franisco, Cundinamarca. Agricultura familiar.","https://biotico.co/tienda/frutasbiotico/lulo-ecologico-de-confianza-500-g-san-francisco-cundinamarca-a/","","https://i0.wp.com/biotico.co/wp-content/uploads/2019/02/lulo-0.jpg?ssl=1","",""
"1604870354-1932","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Jabón para manos ecológico de Coco y vainilla x 250 mL. Ecolepont","https://biotico.co/tienda/jabon-ecologico/jabonmanoscyv/","","https://i2.wp.com/biotico.co/wp-content/uploads/2019/10/jabon-coco.jpg?ssl=1","",""
"1604870338-1908","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Multiusos biodegradable – Moringa y cardamomo 500 mL. Libre de sulfatos. Ecolepont.","https://biotico.co/tienda/jabon-ecologico/mumoringa/","","","$18,300",""
"1604870458-2018","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Aceite de ajonjolí prensado en frío. 1 Lt.","https://biotico.co/tienda/aceites/aceiteajonjoli1lt/","","https://i2.wp.com/biotico.co/wp-content/uploads/2020/08/20201003_112451.jpg?ssl=1","",""
"1604870436-1998","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta. Arándanos orgánicos 125 g.  Subachoque, Cund. Empaque biodegradable.","https://biotico.co/tienda/frutasbiotico/arandanos-organicos/","Fruta. Arándanos orgánicos 125 g.  Subachoque, Cund. Empaque biodegradable.","","",""
"1604870909-2368","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Cebolla puerro baby orgánica – Verde Fresco Orgánico (500g)","https://biotico.co/tienda/verduras-organicas-2/puerrobaby/","Cebolla puerro baby orgánica – Verde Fresco Orgánico (500g)","","",""
"1604870489-2043","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fríjol mungo x 500 g. Sin herbicidas ni plaguicidas. Nivel de germinación: 99%","https://biotico.co/tienda/frijoles/frijol-mungo-bpa-500-g/","","","","$10,000"
"1604870813-2296","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Manzanilla orgánica – Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/aromaticas-y-condimentos/manzanilla-organica-x-atado-ecocert/","","","","$2,500"
"1604870338-1906","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Multiusos biodegradable – Moringa y cardamomo 500 mL. Libre de sulfatos. Ecolepont.","https://biotico.co/tienda/jabon-ecologico/mumoringa/","","","$29,200",""
